dt,so2,no2,co,o3,pm10,pm2.5
2001-01-01,0.003542,0.03384,0.6543,0.00425,71.3,55.53
2001-01-02,0.001583,0.02759,0.5957,0.006084,428.0,160.6
2001-01-03,0.002125,0.0265,0.4458,0.006958,90.8,43.8
2001-01-04,0.003708,0.0287,0.533,0.007416,76.94,42.1
2001-01-05,0.005165,0.05063,1.158,0.0004582,98.06,69.75
2001-01-06,0.005627,0.04105,0.929,0.002708,89.06,57.94
2001-01-07,0.001333,0.01912,0.3083,0.00958,31.9,26.1
2001-01-13,0.004665,0.03754,0.7627,0.0065,57.88,57.22
2001-01-14,0.003166,0.01866,0.35,0.012955,43.75,31.42
2001-01-15,0.004124,0.02562,0.4792,0.00933,49.2,31.1
2001-01-16,0.00446,0.04193,0.8125,0.00408,63.9,43.75
2001-01-17,0.00771,0.0554,1.167,0.001,97.44,68.3
2001-01-18,0.01171,0.06113,1.4375,0.0002916,125.7,91.4
2001-01-19,0.011375,0.0631,1.741,0.0005,169.1,132.0
2001-01-20,0.00596,0.04855,1.196,0.0025,141.6,115.4
2001-01-21,0.007793,0.04565,1.2295,0.002874,144.4,113.25
2001-01-22,0.007168,0.05096,1.537,0.001208,162.1,124.6
2001-01-23,0.004208,0.04388,1.2295,0.004543,109.3,81.1
2001-01-24,0.00275,0.03525,0.9165,0.003876,54.22,32.38
2001-01-25,0.002333,0.02979,0.75,0.00862,43.53,27.89
2001-01-26,0.001,0.019,0.279,0.014626,32.03,17.62
2001-01-27,0.002,0.0345,0.526,0.005653,35.75,23.06
2001-01-28,0.003334,0.026,0.4583,0.01146,60.75,37.84
2001-01-29,0.006958,0.04605,0.7607,0.002913,81.2,42.53
2001-01-30,0.00629,0.05313,1.009,0.002,157.0,78.7
2001-01-31,0.00867,0.0583,1.2,0.0005,172.5,92.2
2001-02-01,0.003458,0.02429,0.4,0.01187,98.25,54.7
2001-02-02,0.007084,0.0469,0.7876,0.003458,79.3,50.06
2001-02-03,0.00862,0.0557,1.083,0.001125,159.6,85.25
2001-02-04,0.00857,0.05078,1.074,0.00261,194.5,101.3
